BRAND,FlashName,ID,CE,TYPE,SIZE,FlashID1,FlashID2,FlashID,MaxBlock,MaxPage,MaxSector,MaxZone,MaxBank,MaxPhyBlock,MaxLogBlock,BlockPerDie,RWCycle,6913RWCycle,6919RWCycle,BinFileName,BinFileNameLLF,DQSDelay,6913DQSDelay,DefWrite,DefRead,FMAutoECC,ECCClock,Driving,6913Driving,6921Driving,BBPercent1,BBPercent2,EnableBitECC,Enable12BitECC,DisableWriteCache,DisableReadStatus,Homogenous,ThreadNumber,OriginOSC,Toggle,ECCAllow,FlashCase,LoadTLC_FW,FullFirmwareBlock,EnableBCT,SLC_boundary,Sync,ReadRetryTable,FirmwarePage,LoadPattern_FW,LLFBLOCK,LLFBLOCK_ECC,InterceptUFI,FW_Enable_Toggle,ZoneShift,ShiftByte,SET_LC_enable ,LC_Value,for_DG,FlashDriving,FlashDriving2 ,InitValue_Enable,9023,9024,SLC_Path,SLC_Mode,1Ynm
Transcend,FCGMT4P-0S03*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,82,21,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FCGMT4P-0S04*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,82,19,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FCGMT4P-0S06*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,82,20,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D03,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,83,9,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D04,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,83,13,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D06,"0x2C,0x88,0x08,0x5F,0x89,0x00",2,TLC,16384,83,10,0x88,2048,768,16,1,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x33,0x11,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D03*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",4,TLC,32768,83,9,0x88,2048,768,16,2,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x55,0x33,0x22,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D04*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",4,TLC,32768,83,13,0x88,2048,768,16,2,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x55,0x33,0x22,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FDGMT4P-1D06*2,"0x2C,0x88,0x08,0x5F,0x89,0x00",4,TLC,32768,83,10,0x88,2048,768,16,2,1,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x55,0x33,0x22,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
Transcend,FFGMT4P-1Q04,"0x2C,0xA8,0x09,0xDF,0x89,0x00",2,TLC,32768,84,3,0x88,2048,768,16,2,2,2048,1300,1368,0x03,0x03,1,98_88_B74_DDP.BIN,98_88_B74_DDP.BIN,0x13,0x03,0xFF,0xFF,0xFF,0xFF,0x00,0x33,0x00,6.5,6.5,68,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0xFF,0xFF,0,0,0,1,0,0,0xFF,0x51,0x59,0,0,0,0x51,0x70,0x02,B74,1,0
